pickup_latitude|pickup_longitude|PickUpKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
40.761486|-73.986214|29445|building|building|Hell's Kitchen|Manhattan
40.761486|-73.957657|29446|building|building|Manhattan Community Board 8|Manhattan
40.76149|-73.988449|29447|building|building|Hell's Kitchen|Manhattan
40.76149|-73.96035|29448|shop|shop|Manhattan Community Board 8|Manhattan
40.761494|-73.999084|29449|building|building|Hell's Kitchen|Manhattan
40.761494|-73.987717|29450|building|building|Hell's Kitchen|Manhattan
40.761494|-73.98645|29451|tourism|tourism|Hell's Kitchen|Manhattan
40.761494|-73.968903|29452|building|building|Midtown East|Manhattan
40.761494|-73.964645|29453|building|building|Manhattan Community Board 8|Manhattan
40.761494|-73.957748|29454|building|building|Manhattan Community Board 8|Manhattan
40.761497|-73.999886|29455|building|building|Hell's Kitchen|Manhattan
40.761497|-73.970833|29456|building|building|Midtown East|Manhattan
40.761497|-73.970741|29457|building|building|Midtown East|Manhattan
40.761497|-73.968796|29458|building|building|Midtown East|Manhattan
40.761497|-73.966728|29459|amenity|amenity|Midtown East|Manhattan
40.761501|-73.999031|29460|leisure|leisure|Hell's Kitchen|Manhattan
40.761501|-73.998604|29461|place|place|Hell's Kitchen|Manhattan
40.761501|-73.985603|29462|building|building|Hell's Kitchen|Manhattan
40.761501|-73.984123|29463|railway|railway|Manhattan Community Board 5|Manhattan
40.761501|-73.982368|29464|place|place|Manhattan Community Board 5|Manhattan
40.761501|-73.978638|29465|highway|road|Manhattan Community Board 5|Manhattan
40.761505|-73.990608|29466|building|building|Hell's Kitchen|Manhattan
40.761505|-73.988083|29467|tourism|tourism|Hell's Kitchen|Manhattan
40.761505|-73.986961|29468|shop|shop|Hell's Kitchen|Manhattan
40.761505|-73.96463|29469|building|building|Manhattan Community Board 8|Manhattan
40.761505|-73.963783|29470|highway|highway|Manhattan Community Board 8|Manhattan
40.761505|-73.963707|29471|highway|highway|Manhattan Community Board 8|Manhattan
40.761505|-73.957581|29472|building|building|Manhattan Community Board 8|Manhattan
40.761505|-73.917053|29473|building|building|Steinway|Queens
40.761509|-74.00029|29474|building|building|Hell's Kitchen|Manhattan
40.761509|-73.979546|29475|highway|road|Theater District|Manhattan
40.761513|-73.997681|29476|building|building|Hell's Kitchen|Manhattan
40.761517|-73.998764|29477|leisure|leisure|Hell's Kitchen|Manhattan
40.761517|-73.994179|29478|amenity|amenity|Hell's Kitchen|Manhattan
40.761517|-73.988213|29479|building|building|Hell's Kitchen|Manhattan
40.761517|-73.98391|29480|railway|railway|Manhattan Community Board 5|Manhattan
40.761517|-73.980759|29481|building|building|Manhattan Community Board 5|Manhattan
40.76152|-73.986961|29482|shop|shop|Hell's Kitchen|Manhattan
40.76152|-73.986816|29483|railway|railway|Hell's Kitchen|Manhattan
40.76152|-73.979134|29484|highway|road|Manhattan Community Board 5|Manhattan
40.76152|-73.969872|29485|building|building|Midtown East|Manhattan
40.761524|-73.962524|29486|building|building|Manhattan Community Board 8|Manhattan
40.761528|-73.975044|29487|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761528|-73.96048|29488|place|place|Manhattan Community Board 8|Manhattan
40.761532|-73.96946|29489|amenity|amenity|Midtown East|Manhattan
40.761532|-73.968468|29490|amenity|amenity|Midtown East|Manhattan
40.761536|-73.998962|29491|leisure|leisure|Hell's Kitchen|Manhattan
40.761536|-73.997772|29492|place|place|Hell's Kitchen|Manhattan
40.761536|-73.994003|29493|shop|shop|Hell's Kitchen|Manhattan
40.761536|-73.984375|29494|place|place|Hell's Kitchen|Manhattan
40.761536|-73.979118|29495|highway|road|Manhattan Community Board 5|Manhattan
40.761536|-73.975067|29496|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761536|-73.974991|29497|place|place|Midtown East|Manhattan
40.761536|-73.970833|29498|building|building|Midtown East|Manhattan
40.761536|-73.969154|29499|building|building|Midtown East|Manhattan
40.761536|-73.960526|29500|place|place|Manhattan Community Board 8|Manhattan
40.761539|-73.988235|29501|building|building|Hell's Kitchen|Manhattan
40.761539|-73.979256|29502|highway|road|Theater District|Manhattan
40.761539|-73.969215|29503|building|building|Midtown East|Manhattan
40.761539|-73.968681|29504|amenity|amenity|Midtown East|Manhattan
40.761539|-73.960632|29505|building|building|Manhattan Community Board 8|Manhattan
40.761543|-73.997658|29506|place|place|Hell's Kitchen|Manhattan
40.761543|-73.99752|29507|place|place|Hell's Kitchen|Manhattan
40.761543|-73.988388|29508|building|building|Hell's Kitchen|Manhattan
40.761543|-73.982979|29509|place|place|Manhattan Community Board 5|Manhattan
40.761543|-73.982353|29510|place|place|Manhattan Community Board 5|Manhattan
40.761543|-73.981018|29511|building|building|Manhattan Community Board 5|Manhattan
40.761543|-73.96106|29512|building|building|Manhattan Community Board 8|Manhattan
40.761547|-73.999794|29513|building|building|Hell's Kitchen|Manhattan
40.761547|-73.986794|29514|railway|railway|Hell's Kitchen|Manhattan
40.761551|-73.990395|29515|shop|shop|Hell's Kitchen|Manhattan
40.761551|-73.983841|29516|railway|railway|Manhattan Community Board 5|Manhattan
40.761551|-73.979012|29517|highway|road|Manhattan Community Board 5|Manhattan
40.761551|-73.97509|29518|tourism|tourism|Manhattan Community Board 5|Manhattan
40.761551|-73.92437|29519|building|building||Queens
40.761555|-73.998672|29520|place|place|Hell's Kitchen|Manhattan
40.761555|-73.930328|29521|building|building|Ravenswood|Queens
40.761559|-73.981178|29522|building|building|Manhattan Community Board 5|Manhattan
40.761559|-73.973694|29523|building|building|Midtown East|Manhattan
40.761559|-73.970932|29524|building|building|Midtown East|Manhattan
40.761559|-73.969559|29525|amenity|amenity|Midtown East|Manhattan
40.761559|-73.966301|29526|place|place|Manhattan Community Board 8|Manhattan
40.761559|-73.96067|29527|amenity|amenity|Yorkville|Manhattan
